country_region,date,confirmed,deaths,recovered,active,admin2
Liberia,2021-10-27,5812,287,,,
Liberia,2021-05-19,2142,85,2022,35,
Liberia,2021-08-19,5459,148,,,
Liberia,2021-04-02,2042,85,1899,58,
Liberia,2022-05-07,7434,294,,,
Liberia,2022-08-15,7578,294,,,
Liberia,2021-12-13,5844,287,,,
Liberia,2020-09-17,1333,82,1214,37,
Liberia,2022-08-31,7883,294,,,
Liberia,2021-09-12,5727,245,,,
Liberia,2022-11-15,8014,294,,,
Liberia,2020-05-17,226,21,120,85,
Liberia,2020-12-05,1676,83,1358,235,
Liberia,2021-03-09,2026,85,1898,43,
Liberia,2021-06-22,3109,99,2169,841,
Liberia,2021-01-30,1939,84,1760,95,
Liberia,2020-07-17,1085,69,496,520,
Liberia,2021-09-30,5799,286,,,
Liberia,2020-11-29,1595,83,1343,169,
Liberia,2020-04-03,7,0,0,7,
Liberia,2020-08-12,1252,82,738,432,
Liberia,2020-06-12,421,32,210,179,
Liberia,2020-06-03,316,28,169,119,
Liberia,2021-06-16,2729,95,2105,529,
Liberia,2020-04-12,50,5,3,42,
Liberia,2021-03-16,2030,85,1899,46,
Liberia,2021-06-06,2250,86,2049,115,
Liberia,2020-10-05,1354,82,1236,36,
Liberia,2021-06-23,3265,110,2222,933,
Liberia,2021-09-06,5727,245,,,
Liberia,2022-03-21,7397,294,,,
Liberia,2021-01-06,1779,83,1406,290,
Liberia,2022-03-04,7384,294,,,
Liberia,2022-08-21,7656,294,,,
Liberia,2020-08-31,1304,82,872,350,
Liberia,2021-08-26,5538,245,,,
Liberia,2020-09-08,1311,82,1194,35,
Liberia,2021-08-09,5459,148,,,
Liberia,2022-07-28,7508,294,,,
Liberia,2022-09-01,7883,294,,,
Liberia,2020-10-24,1393,82,1278,33,
Liberia,2022-06-11,7459,294,,,
Liberia,2021-03-30,2042,85,1899,58,
Liberia,2022-09-10,7898,294,,,
Liberia,2020-10-10,1363,82,1245,36,
Liberia,2020-04-10,37,5,3,29,
Liberia,2021-05-27,2174,86,2033,55,
Liberia,2021-01-14,1878,84,1701,93,
Liberia,2020-06-17,516,33,240,243,
Liberia,2022-03-23,7397,294,,,
Liberia,2022-02-15,7360,290,,,
Liberia,2021-04-04,2042,85,1899,58,
Liberia,2021-08-17,5459,148,,,
Liberia,2021-01-08,1779,83,1406,290,
Liberia,2022-03-30,7400,294,,,
Liberia,2022-06-13,7459,294,,,
Liberia,2021-03-24,2042,85,1899,58,
Liberia,2021-10-11,5801,286,,,
Liberia,2020-10-29,1426,82,1279,65,
Liberia,2022-10-26,7988,294,,,
Liberia,2022-05-05,7434,294,,,
Liberia,2020-05-12,211,20,85,106,
Liberia,2020-11-05,1440,82,1305,53,
Liberia,2022-06-20,7493,294,,,
Liberia,2021-01-15,1882,84,1701,97,
Liberia,2021-11-28,5821,287,,,
Liberia,2022-09-03,7883,294,,,
Liberia,2021-08-24,5527,245,,,
Liberia,2020-06-27,729,34,291,404,
Liberia,2020-10-26,1416,82,1278,56,
Liberia,2022-08-23,7732,294,,,
Liberia,2020-07-31,1186,75,670,441,
Liberia,2022-03-02,7384,294,,,
Liberia,2022-01-29,7254,290,,,
Liberia,2020-08-08,1234,79,714,441,
Liberia,2021-02-01,1944,84,1760,100,
Liberia,2022-01-20,7208,288,,,
Liberia,2021-06-14,2575,94,2099,382,
Liberia,2021-03-18,2042,85,1899,58,
Liberia,2022-04-19,7432,294,,,
Liberia,2020-06-14,458,32,219,207,
Liberia,2022-05-27,7455,294,,,
Liberia,2021-08-22,5459,148,,,
Liberia,2021-10-13,5802,286,,,
Liberia,2020-09-30,1343,82,1221,40,
Liberia,2022-07-23,7508,294,,,
Liberia,2021-11-21,5818,287,,,
Liberia,2021-06-17,2796,95,2105,596,
Liberia,2020-04-06,14,3,3,8,
Liberia,2022-08-04,7538,294,,,
Liberia,2021-10-03,5799,286,,,
Liberia,2021-10-29,5812,287,,,
Liberia,2022-09-12,7929,294,,,
Liberia,2022-02-13,7358,290,,,
Liberia,2021-02-25,2009,85,1884,40,
Liberia,2022-06-05,7456,294,,,
Liberia,2020-06-06,345,30,185,130,
Liberia,2020-10-02,1346,82,1221,43,
Liberia,2022-01-05,6851,287,,,
Liberia,2020-03-27,3,0,0,3,
Liberia,2021-07-14,5276,144,2622,2510,
Liberia,2022-10-17,7988,294,,,
Liberia,2022-04-12,7402,294,,,
Liberia,2022-11-08,7998,294,,,
Liberia,2021-12-02,5824,287,,,
Liberia,2020-05-27,266,27,144,95,
Liberia,2022-11-25,8014,294,,,
Liberia,2021-04-30,2099,85,1949,65,
Liberia,2022-02-24,7360,290,,,
